date,ticker,name,close,change_pct
2026-04-03,00700.HK,TENCENT,496.6,0.12
2026-04-03,03690.HK,MEITUAN-W,81.95,0.55
2026-04-03,09988.HK,BABA-W,122.7,1.4
2026-04-03,01810.HK,XIAOMI-W,32.02,0.95
2026-04-03,02382.HK,SUNNY OPTICAL,56.95,-5.87
2026-04-03,09999.HK,NTES-S,176.1,-0.23
2026-04-03,01398.HK,ICBC,6.88,-1.15
2026-04-03,02319.HK,MENGNIU DAIRY,17.45,-0.68
2026-04-03,00941.HK,CHINA MOBILE,79.8,-0.44
2026-04-03,00939.HK,CCB,8.41,-0.59
2026-04-03,02628.HK,CHINA LIFE,25.2,-0.24
2026-04-03,00388.HK,HKEX,400.4,-0.05
2026-04-03,01658.HK,PSBC,4.93,-0.2
2026-04-03,01109.HK,CHINA RES LAND,29.16,0.0
2026-04-03,02270.HK,DESUN SERVICES,4.1,0.0
2026-04-03,00175.HK,GEELY AUTO,21.98,-8.65
2026-04-03,09618.HK,JD-SW,112.9,0.09
2026-04-03,09633.HK,NONGFU SPRING,47.82,-0.21
2026-04-03,06618.HK,JD HEALTH,48.64,-1.02
2026-04-03,00552.HK,CHINACOMSERVICE,4.05,-0.74
2026-04-03,00656.HK,FOSUN INTL,4.28,-0.93
2026-04-03,00772.HK,CHINA LIT,26.3,0.0
2026-04-03,02269.HK,WUXI BIO,34.86,-2.57
2026-04-03,02333.HK,GWMOTOR,12.53,-6.84
2026-04-03,02689.HK,ND PAPER,6.87,0.0
2026-04-03,02899.HK,ZIJIN MINING,36.4,-0.87
2026-04-03,03888.HK,KINGSOFT,23.18,0.78
2026-04-03,03968.HK,CM BANK,49.12,-1.17
2026-04-03,03988.HK,BANK OF CHINA,5.01,-0.99
2026-04-03,06888.HK,FREETECH,0.16,0
2026-04-03,06969.HK,SMOORE INTL,9.04,-0.99
2026-04-03,00011.HK,HANG SENG BANK,154.3,0
2026-04-03,02318.HK,PING AN,60.6,0.0
2026-04-03,03328.HK,BANKCOMM,7.12,-1.11
2026-04-03,03988.HK,BANK OF CHINA,5.01,-0.99
