date,indicator_code,value,country
1995-01-01,FEDFUNDS,4.9928,US
1995-01-01,CPI,2.4965,US
1995-01-01,M2,10994.43,US
1995-01-01,GOLD,401.4,GLD
1995-01-01,OIL,49.9,OIL
1995-01-01,COPPER,2992.51,CPR
1995-01-01,EURUSD,0.850665,EU
1995-01-01,HIBOR,1.9973,HK
1995-01-02,FEDFUNDS,4.9892,US
1995-01-02,CPI,2.5023,US
1995-01-02,M2,11011.61,US
1995-01-02,GOLD,402.33,GLD
1995-01-02,OIL,50.53,OIL
1995-01-02,COPPER,3000.55,CPR
1995-01-02,EURUSD,0.848523,EU
1995-01-02,HIBOR,1.9899,HK
1995-01-03,FEDFUNDS,5.0123,US
1995-01-03,CPI,2.5262,US
1995-01-03,M2,11002.08,US
1995-01-03,GOLD,399.79,GLD
1995-01-03,OIL,50.43,OIL
1995-01-03,COPPER,2992.73,CPR
1995-01-03,EURUSD,0.849375,EU
1995-01-03,HIBOR,2.0049,HK
1995-01-04,FEDFUNDS,5.0437,US
1995-01-04,CPI,2.4952,US
1995-01-04,M2,11018.83,US
1995-01-04,GOLD,400.5,GLD
1995-01-04,OIL,50.63,OIL
1995-01-04,COPPER,2994.43,CPR
1995-01-04,EURUSD,0.851137,EU
1995-01-04,HIBOR,1.9849,HK
1995-01-05,FEDFUNDS,4.869,US
1995-01-05,CPI,2.4879,US
1995-01-05,M2,10954.21,US
1995-01-05,GOLD,401.75,GLD
1995-01-05,OIL,50.53,OIL
1995-01-05,COPPER,2993.9,CPR
1995-01-05,EURUSD,0.851695,EU
1995-01-05,HIBOR,1.99,HK
1995-01-06,FEDFUNDS,4.9957,US
1995-01-06,CPI,2.4941,US
1995-01-06,M2,11005.72,US
1995-01-06,GOLD,401.64,GLD
1995-01-06,OIL,50.51,OIL
1995-01-06,COPPER,3001.75,CPR
1995-01-06,EURUSD,0.8513,EU
1995-01-06,HIBOR,2.0048,HK
1995-01-07,FEDFUNDS,4.9687,US
1995-01-07,CPI,2.4857,US
1995-01-07,M2,10976.5,US
1995-01-07,GOLD,401.0,GLD
1995-01-07,OIL,49.8,OIL
1995-01-07,COPPER,3011.68,CPR
1995-01-07,EURUSD,0.848361,EU
1995-01-07,HIBOR,1.989,HK
1995-01-08,FEDFUNDS,5.0384,US
1995-01-08,CPI,2.5284,US
1995-01-08,M2,11025.28,US
1995-01-08,GOLD,401.67,GLD
1995-01-08,OIL,51.14,OIL
1995-01-08,COPPER,2999.53,CPR
1995-01-08,EURUSD,0.847154,EU
1995-01-08,HIBOR,1.9947,HK
1995-01-09,FEDFUNDS,5.0476,US
1995-01-09,CPI,2.4711,US
1995-01-09,M2,11001.68,US
1995-01-09,GOLD,400.51,GLD
1995-01-09,OIL,49.75,OIL
1995-01-09,COPPER,3003.62,CPR
1995-01-09,EURUSD,0.851162,EU
1995-01-09,HIBOR,2.0232,HK
1995-01-10,FEDFUNDS,5.031,US
1995-01-10,CPI,2.4878,US
1995-01-10,M2,10971.91,US
1995-01-10,GOLD,398.34,GLD
1995-01-10,OIL,50.76,OIL
1995-01-10,COPPER,2997.17,CPR
1995-01-10,EURUSD,0.849859,EU
1995-01-10,HIBOR,2.0075,HK
1995-01-11,FEDFUNDS,4.9638,US
1995-01-11,CPI,2.4941,US
1995-01-11,M2,10907.94,US
1995-01-11,GOLD,397.84,GLD
1995-01-11,OIL,49.55,OIL
1995-01-11,COPPER,3002.08,CPR
1995-01-11,EURUSD,0.852387,EU
1995-01-11,HIBOR,1.9998,HK
1995-01-12,FEDFUNDS,5.0131,US
1995-01-12,CPI,2.5034,US
1995-01-12,M2,11054.24,US
1995-01-12,GOLD,401.79,GLD
1995-01-12,OIL,50.22,OIL
1995-01-12,COPPER,2994.95,CPR
1995-01-12,EURUSD,0.851807,EU
1995-01-12,HIBOR,2.0038,HK
1995-01-13,FEDFUNDS,5.0613,US
1995-01-13,CPI,2.4994,US
1995-01-13,M2,11097.66,US
1995-01-13,GOLD,399.28,GLD
1995-01-13,OIL,51.27,OIL
1995-01-13,COPPER,3000.58,CPR
1995-01-13,EURUSD,0.848967,EU
1995-01-13,HIBOR,1.9887,HK
1995-01-14,FEDFUNDS,4.9924,US
1995-01-14,CPI,2.5285,US
1995-01-14,M2,11040.82,US
1995-01-14,GOLD,401.38,GLD
1995-01-14,OIL,48.1,OIL
1995-01-14,COPPER,3003.55,CPR
1995-01-14,EURUSD,0.851112,EU
1995-01-14,HIBOR,1.9945,HK
1995-01-15,FEDFUNDS,4.9686,US
1995-01-15,CPI,2.5,US
1995-01-15,M2,11086.24,US
1995-01-15,GOLD,397.89,GLD
1995-01-15,OIL,49.66,OIL
1995-01-15,COPPER,3006.81,CPR
1995-01-15,EURUSD,0.849108,EU
1995-01-15,HIBOR,1.9964,HK
1995-01-16,FEDFUNDS,5.0049,US
1995-01-16,CPI,2.4752,US
1995-01-16,M2,11011.0,US
1995-01-16,GOLD,397.58,GLD
