date,ticker,open,high,low,close,volume
2026-04-02,AAPL,254.2,256.13,250.65,255.92,31289370
2026-04-01,AAPL,254.08,256.18,253.33,255.63,40059430
2026-03-31,AAPL,247.91,255.48,247.101,253.79,49598090
2026-03-30,AAPL,250.07,250.87,245.51,246.63,39446210
2026-03-27,AAPL,253.9,255.493,248.07,248.8,47900000
2026-03-26,AAPL,252.115,257.0,250.77,252.89,41796650
2026-03-25,AAPL,254.095,255.0,251.6,252.62,28476670
2026-03-24,AAPL,250.35,254.825,249.55,251.64,45152290
2026-03-23,AAPL,253.97,254.6,250.28,251.49,40546110
2026-03-20,AAPL,247.975,249.1999,246.0,247.99,88331080
2026-03-19,AAPL,249.4,251.83,247.3,248.96,34864080
2026-03-18,AAPL,252.625,254.94,249.0,249.94,35757870
2026-03-17,AAPL,252.955,255.13,252.18,254.23,32361610
2026-03-16,AAPL,252.105,253.885,249.88,252.82,32074210
2026-03-13,AAPL,255.48,256.33,249.52,250.12,36929990
2026-03-12,AAPL,258.66,258.95,254.18,255.76,40794020
2026-03-11,AAPL,261.09,262.13,259.55,260.81,26218930
2026-03-10,AAPL,257.645,262.48,256.95,260.83,30590770
2026-03-09,AAPL,255.69,261.15,253.6805,259.88,38218530
2026-03-06,AAPL,258.63,258.77,254.37,257.46,41120040
2026-03-05,AAPL,260.79,261.555,257.25,260.29,49658630
2026-03-04,AAPL,264.65,266.15,261.42,262.52,39803120
2026-04-02,MSFT,367.205,373.64,364.15,373.46,24099070
2026-04-01,MSFT,373.49,373.99,368.2,369.37,29417210
2026-03-31,MSFT,364.55,372.9,363.07,370.17,45244370
2026-03-30,MSFT,361.895,365.36,356.28,358.96,44797000
2026-03-27,MSFT,361.9,362.45,356.51,356.77,37883400
2026-03-26,MSFT,370.815,374.7199,365.19,365.97,36836570
2026-03-25,MSFT,376.92,377.06,369.63,371.04,31181160
2026-03-24,MSFT,382.36,382.47,371.85,372.74,42733630
2026-03-23,MSFT,383.9,387.21,381.68,383.0,29680060
2026-03-20,MSFT,386.79,387.0,380.12,381.87,50853150
2026-03-19,MSFT,390.1,392.49,387.06,389.02,25138770
2026-03-18,MSFT,397.125,398.0,391.0,391.79,25908480
2026-03-17,MSFT,400.27,404.4,397.745,399.41,26228280
2026-03-16,MSFT,398.07,400.63,394.79,399.95,27733720
2026-03-13,MSFT,401.0,404.8,394.25,395.55,26848000
2026-03-12,MSFT,404.63,406.12,401.71,401.86,27263890
2026-03-11,MSFT,405.57,409.01,401.59,404.88,25512140
2026-03-10,MSFT,410.03,410.2,402.93,405.76,31706380
2026-03-09,MSFT,404.915,410.21,403.5,409.41,30131850
2026-03-06,MSFT,409.2,413.05,408.5101,408.96,31123860
2026-03-05,MSFT,404.42,411.61,404.4,410.68,39001320
