full_name,description,owner_login,stargazers_count,forks_count,language,html_url,created_at,topics
anthropics/skills,Public repository for Agent Skills,anthropics,105851,11713,Python,https://github.com/anthropics/skills,2025-09-22,agent-skills
Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",Shubhamsaboo,103953,15167,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,2024-04-29,"agents,llms,python,rag"
deepseek-ai/DeepSeek-V3,,deepseek-ai,102416,16611,Python,https://github.com/deepseek-ai/DeepSeek-V3,2024-12-26,
microsoft/markitdown,Python tool for converting files and office documents to Markdown.,microsoft,92832,5588,Python,https://github.com/microsoft/markitdown,2024-11-13,"autogen,autogen-extension,langchain,markdown,microsoft-office,openai,pdf"
browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,browser-use,84955,9838,Python,https://github.com/browser-use/browser-use,2024-10-31,"ai-agents,ai-tools,browser-automation,browser-use,llm,playwright,python"
github/spec-kit,💫 Toolkit to help you get started with Spec-Driven Development,github,83480,7139,Python,https://github.com/github/spec-kit,2025-08-21,"ai,copilot,development,engineering,prd,spec,spec-driven"
OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,OpenHands,70144,8783,Python,https://github.com/OpenHands/OpenHands,2024-03-13,"agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai"
unclecode/crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",unclecode,62876,6410,Python,https://github.com/unclecode/crawl4ai,2024-05-09,
karpathy/autoresearch,AI agents running research on single-GPU nanochat training automatically,karpathy,60722,8470,Python,https://github.com/karpathy/autoresearch,2026-03-06,
opendatalab/MinerU,Transforms complex documents like PDFs into LLM-ready markdown/JSON for your Agentic workflows.,opendatalab,57524,4762,Python,https://github.com/opendatalab/MinerU,2024-02-29,"ai4science,document-analysis,extract-data,layout-analysis,ocr,parser,pdf,pdf-converter,pdf-extractor-llm,pdf-extractor-pretrain,pdf-extractor-rag,pdf-parser,python"
docling-project/docling,Get your documents ready for gen AI,docling-project,56720,3850,Python,https://github.com/docling-project/docling,2024-07-09,"ai,convert,document-parser,document-parsing,documents,docx,html,markdown,pdf,pdf-converter,pdf-to-json,pdf-to-text,pptx,tables,xlsx"
RVC-Boss/GPT-SoVITS,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),RVC-Boss,56222,6142,Python,https://github.com/RVC-Boss/GPT-SoVITS,2024-01-14,"text-to-speech,tts,vits,voice-clone,voice-cloneai,voice-cloning"
FoundationAgents/OpenManus,"No fortress, purely open ground.  OpenManus is Coming.",FoundationAgents,55552,9701,Python,https://github.com/FoundationAgents/OpenManus,2025-03-06,
nextlevelbuilder/ui-ux-pro-max-skill,An AI SKILL that provide design intelligence for building professional UI/UX multiple platforms,nextlevelbuilder,54314,5266,Python,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30,"ai-skills,antigravity,claude,claude-code,codex,command-line,copilot,cursor-ai,html5,kiro,landing-page,mobile-ui,qoder,react,tailwindcss,trae,ui-design,uikit,windsurf-ai"
harry0703/MoneyPrinterTurbo,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,harry0703,53936,7614,Python,https://github.com/harry0703/MoneyPrinterTurbo,2024-03-11,"ai,automation,chatgpt,moviepy,python,shortvideo,tiktok"
Zie619/n8n-workflows,all of the workflows of n8n i could find (also from the site itself),Zie619,53349,6935,Python,https://github.com/Zie619/n8n-workflows,2025-05-14,
bytedance/deer-flow,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",bytedance,52814,6355,Python,https://github.com/bytedance/deer-flow,2025-05-07,"agent,agentic,agentic-framework,agentic-workflow,ai,ai-agents,deep-research,harness,langchain,langgraph,langmanus,llm,multi-agent,nodejs,podcast,python,superagent,typescript"
xai-org/grok-1,Grok open release,xai-org,51518,8468,Python,https://github.com/xai-org/grok-1,2024-03-17,
karpathy/nanochat,The best ChatGPT that $100 can buy.,karpathy,50640,6636,Python,https://github.com/karpathy/nanochat,2025-10-13,
sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",sansan0,49939,22814,Python,https://github.com/sansan0/TrendRadar,2025-04-28,"ai,bark,data-analysis,docker,hot-news,llm,mail,mcp,mcp-server,news,ntfy,python,rss,trending-topics,wechat,wework"
virattt/ai-hedge-fund,An AI Hedge Fund Team,virattt,49750,8640,Python,https://github.com/virattt/ai-hedge-fund,2024-11-29,
ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",ComposioHQ,49180,5084,Python,https://github.com/ComposioHQ/awesome-claude-skills,2025-10-17,"agent-skills,ai-agents,antigravity,automation,claude,claude-code,codex,composio,cursor,gemini-cli,mcp,rube,saas,skill,workflow-automation"
666ghj/MiroFish,"A Simple and Universal Swarm Intelligence Engine, Predicting Anything. 简洁通用的群体智能引擎，预测万物",666ghj,45631,6420,Python,https://github.com/666ghj/MiroFish,2025-11-26,"agent-memory,financial-forecasting,future-prediction,knowledge-graph,llms,multi-agent-simulation,public-opinion-analysis,python3,social-prediction,swarm-intelligence"
jingyaogong/minimind,🚀🚀 「大模型」2小时完全从0训练64M的小参数GPT！🌏 Train a 64M-parameter GPT from scratch in just 2h!,jingyaogong,44548,5355,Python,https://github.com/jingyaogong/minimind,2024-07-27,"artificial-intelligence,large-language-model"
